track_id,track_name,artist,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
0fCE6NtM7kwrznu5ehOy22,Walk The Plank,Klaus Badelt,40,0.387,0.252,2.0,-15.424,0.0579,0.775,0.952,0.135,0.109,122.173,118.613
7gWc0QEt2hoIkMv3XxPY1T,Insomnia - Radio Edit,Faithless,43,0.71,0.757,7.0,-10.636,0.0302,0.0352,0.00306,0.138,0.492,127.107,213.547
7xUtFQ5J30tYRScACOoh87,Moonlight,SOV,20,0.686,0.62,6.0,-10.271,0.0438,0.0353,0.818,0.103,0.328,95.013,207.158
7EpnyVlS6wnr0rl7n5h2tN,Pet Spa,Sleepy Dogs,42,0.352,0.117,11.0,-16.338,0.0585,0.988,0.948,0.125,0.0411,70.638,121.858
1JetH4krYbWJNZenvTOC4D,Senses,MICO,53,0.438,0.468,2.0,-7.992,0.0405,0.495,0.0,0.369,0.317,175.883,159.887
3Kw7zkALCVxY4wmlnh2IWC,Cupid - Twin Ver.,FIFTY FIFTY,0,0.782,0.587,11.0,-8.3,0.0324,0.428,1.85e-06,0.337,0.76,120.041,174.253
5tffEKZUyEbyThW6FH9VFS,Dispose of Me,Omar Apollo,52,0.593,0.337,4.0,-10.228,0.0427,0.769,0.212,0.111,0.424,148.346,217.88
6KgtcmCF9Ky68XC7ezxl3s,Rumors (feat. Cardi B),Lizzo,60,0.827,0.731,4.0,-5.524,0.088,0.13,0.0,0.418,0.607,118.992,172.833
5I8mg57tDvhGGGC3x14mIZ,(′Cause) I′m Your Girl,S.E.S.,41,0.757,0.911,10.0,-4.005,0.0881,0.124,0.0,0.284,0.728,101.817,225.56
09pg6KKGZlOB6QmpjfYqyM,空心,光澤,47,0.523,0.449,5.0,-7.771,0.0271,0.48,0.0,0.0806,0.451,82.041,281.533
3D0HzwuKEYmVePVqU4fcPX,Rocks,Primal Scream,0,0.635,0.781,7.0,-6.045,0.0341,8.74e-05,0.00153,0.0412,0.926,127.706,215.067
0CIJ9dbM2wVh1zmhT4t4L5,Nitro,Frank Ticheli,5,0.473,0.398,3.0,-11.066,0.0468,0.934,0.784,0.122,0.243,137.311,168.467
0MmlCY9mi7pzKeOLdgKNLA,"Don’t Worry, Be Happy",SF9,44,0.717,0.875,8.0,-3.405,0.0664,0.0178,0.0,0.0812,0.724,114.974,214.76
1dizvxctg9dHEyaYTFufVi,Gz And Hustlas (feat. Nancy Fletcher),Snoop Dogg,0,0.652,0.814,1.0,-4.901,0.31,0.164,0.0,0.36,0.788,91.888,275.893
3f0kIwqdkTyzxTYuqFzf1L,Whore of Babylon,Zheani,0,0.542,0.863,2.0,-6.374,0.0588,0.00374,0.00108,0.0875,0.269,151.942,181.073
7msmTNDbP3QWWuevPxcm48,"3 Romanzen, Op. 28: No. 2 in F-Sharp Major (Einfach)",Robert Schumann,43,0.233,0.00489,1.0,-29.934,0.0459,0.995,0.888,0.109,0.0407,60.599,230.181
4vRzn9h579C8OYHPMSMdZx,說謊,Jeff Chang,31,0.427,0.409,7.0,-10.705,0.0428,0.242,0.0,0.129,0.108,119.949,261.893
2Z66Q9brxKKf45fG6DfT6x,Bring Me to Life - Synthesis,Evanescence,18,0.194,0.773,4.0,-3.891,0.0576,0.618,0.0,0.0767,0.156,90.138,258.453
3DLRRpaDETZYltj3KZ7kxo,AirForce,DigDat,51,0.855,0.673,1.0,-7.58,0.373,0.45,0.0,0.385,0.66,142.031,221.467
2HFHMKuExajvpnKMERs3Wo,Brother Louie '98 - New Version,Modern Talking,44,0.762,0.956,2.0,-3.398,0.0421,0.189,0.0747,0.318,0.961,118.311,216.093
6zFpSIwvi6l6OkLKiV0H44,"Kinderszenen, Op. 15: No. 7, Träumerei",Robert Schumann,46,0.364,0.00252,5.0,-41.841,0.0724,0.995,0.932,0.0798,0.277,64.987,147.64
77yiDsg3RRbByRG8XfSUVC,純真,Mayday,0,0.245,0.62,9.0,-6.933,0.0376,0.0579,1.08e-06,0.126,0.106,167.587,282.147
3TD6IIiA1DMhWZTjTMY0qU,Leave so I can hurt myself,Parsa Sabet,25,0.607,0.206,5.0,-15.779,0.0615,0.741,0.000411,0.145,0.361,105.408,137.848
391l8re8aew1rvyNOXUYDD,Nostalgia,Floyd Nova,59,0.393,0.0156,3.0,-25.533,0.0369,0.995,0.947,0.109,0.354,72.845,172.5
7rbECVPkY5UODxoOUVKZnA,I Wonder,Kanye West,81,0.542,0.466,0.0,-8.668,0.0824,0.141,0.000444,0.125,0.127,191.386,243.44
2o9OWBuGbt7tfkgJCLSC3H,O Magnum Mysterium,Northwestern University Symphonic Wind Ensemble,23,0.161,0.00193,3.0,-27.249,0.0429,0.986,0.901,0.083,0.0378,63.848,360.093
6oG7bmUn7ws0qYEJ0eEbeG,Touch,Little Mix,0,0.607,0.718,4.0,-4.095,0.0978,0.032,0.0,0.403,0.551,101.821,213.307
6BZ6pl5bczDc3cMF1kBaOy,pink skies,LANY,67,0.719,0.631,5.0,-6.616,0.0433,0.266,7.69e-06,0.134,0.466,103.968,185.923
5Rizj5FLb2AyNKu9esjYY6,Rape Me,Nirvana,70,0.42,0.746,8.0,-10.628,0.0467,0.0141,0.0,0.0661,0.229,111.886,170.0
6RVKLjmQeXN5FQ7D9g2e88,"Tahiti Trot, Op. 16",Dmitri Shostakovich,27,0.261,0.0963,8.0,-23.17,0.0418,0.95,0.849,0.237,0.19,67.533,250.28
6JY1IdkZGeIcPegKxjSKeb,Since U Been Gone,Kelly Clarkson,74,0.662,0.739,9.0,-5.354,0.0322,0.00206,0.0603,0.113,0.382,130.999,188.96
4a3JK861psXdoHz1kr5TaW,Sixth Sense,Brown Eyed Girls,0,0.672,0.926,5.0,-1.414,0.183,0.0366,0.0,0.443,0.677,127.933,227.997
5HrVgmO1govSOrPUehW1VV,On My Own,Patti LaBelle,58,0.62,0.402,5.0,-12.964,0.0264,0.337,6.13e-05,0.312,0.483,92.093,290.84
1ozqtJJi8Fiv2HyWmhTrFt,Wife You (feat. Fiji),Finn Gruva,21,0.778,0.411,11.0,-13.394,0.194,0.0572,0.0,0.114,0.913,139.991,209.208
4l6uTQ4A2eWZrOzjgm1bey,Crazy Love,Poco,52,0.415,0.256,3.0,-19.376,0.0305,0.189,0.0,0.151,0.634,82.124,176.8
6yO7gwZYIdDz9dH79rQbhK,Hey Ma,Cam'ron,0,0.811,0.708,8.0,-4.608,0.327,0.0186,1.27e-05,0.0669,0.921,90.329,233.133
4L9l5x0WuzNtyEBeqzvgPE,Overnight,Maggie Rogers,53,0.479,0.667,8.0,-5.429,0.177,0.0323,0.0,0.306,0.734,177.958,200.347
56y9Vdi0PWuDqjz6RQ2K93,學貓叫,小潘潘,0,0.601,0.316,7.0,-9.55,0.0365,0.876,2.64e-05,0.365,0.375,130.118,221.447
5aqEbJF24VBRQXjCeNha8k,Lincolnshire Posy: II. Horkstow Grange,Percy Grainger,10,0.206,0.201,1.0,-14.354,0.0381,0.968,0.902,0.165,0.0345,65.774,158.92
2NVpYQqdraEcQwqT7GhUkh,Ain't Nobody,Chaka Khan,63,0.8,0.878,1.0,-7.109,0.0434,0.189,0.000104,0.14,0.816,104.282,280.853
2shyarF21wZvWew00TdaP3,Rose - English Version,D.O.,55,0.616,0.395,0.0,-3.167,0.0607,0.379,0.0,0.0871,0.631,74.422,153.707
7fjh4w2On8mdaM8iH4JQwe,Taste,Dylan Wild,38,0.789,0.624,2.0,-7.14,0.0496,0.00319,0.0,0.276,0.112,100.094,159.045
7nhdz5V0wEnvskcmZodhJk,Heaven,AILEE,0,0.465,0.825,7.0,-2.911,0.096,0.64,0.0,0.13,0.398,89.777,211.827
4c6vZqYHFur11FbWATIJ9P,There She Goes,The La's,76,0.533,0.761,7.0,-10.632,0.0298,0.013,0.829,0.207,0.917,122.777,162.187
5X8LBYTUjTPU00GylETbZU,Cajun Folk Songs: II. Belle,Frank Ticheli,11,0.381,0.083,0.0,-21.554,0.06,0.984,0.809,0.0588,0.0747,79.46,192.147
5oyt64vcLF0MwDq5XNgx86,Kick It 4 Now,THE NEW SIX,44,0.824,0.801,0.0,-3.829,0.0914,0.0536,0.0,0.33,0.767,105.97,175.533
1q634i6xyzpUyo7P337DS3,Skankin',Rebel Souljahz,32,0.875,0.519,7.0,-6.537,0.0469,0.264,0.0,0.0862,0.864,129.987,232.76
5vlEg2fT4cFWAqU5QptIpQ,Replay,Iyaz,69,0.706,0.751,9.0,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,182.307
273dCMFseLcVsoSWx59IoE,Bad Blood,Taylor Swift,60,0.65,0.802,7.0,-6.114,0.181,0.0871,6.54e-06,0.148,0.295,170.146,211.933
0fwl4utqKorwZfPwmVei3J,Touch It,Ariana Grande,0,0.287,0.7,7.0,-4.326,0.0499,0.0338,0.0,0.18,0.33,202.317,260.0
3C8Xxgad3ejXfJ0RiJq9G1,"Suite d'orchestre dans le style ancien, Op. 2: II. Sarabande. Mesto",Albéric Magnard,43,0.171,0.00926,7.0,-31.675,0.044,0.993,0.946,0.128,0.0399,116.418,129.36
0h54kjldXaVYpfYJ4ho59j,See Her Again,J Boog,0,0.734,0.502,2.0,-6.792,0.0484,0.768,0.0,0.0584,0.936,62.023,189.677
3DBMMpm0BbF3KLseErUMoI,Memories,Felixx,50,0.715,0.857,10.0,-7.084,0.101,0.111,0.00761,0.427,0.659,140.015,131.143
5oV1YjM2rtyZ55txHHsFUu,The Shoop Shoop Song (It's In His Kiss),Cher,65,0.678,0.61,0.0,-10.509,0.0306,0.467,0.0,0.397,0.919,117.04,170.0
6TdpHZkH5OGrq4aBIMIxuA,已经有我啦 - Gotchu,姚晓棠,42,0.621,0.541,9.0,-6.534,0.0279,0.513,1.71e-06,0.365,0.429,134.006,184.563
71fbjN2UQSgcEITeza9wib,LOVE,Lyn,49,0.625,0.744,8.0,-4.558,0.0506,0.419,0.0,0.122,0.416,83.952,234.481
6NyRbIJHemupWP9b5f7U3C,泰國情哥,Namewee,0,0.775,0.652,7.0,-5.155,0.0643,0.236,0.0,0.134,0.768,144.999,227.75
3FAclTFfvUuQYnEsptbK8w,Back To Black,Amy Winehouse,81,0.434,0.422,7.0,-13.964,0.0375,0.134,2.05e-05,0.0861,0.377,123.201,241.293
